"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"09/26/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/25/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/22/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/21/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/20/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/19/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/18/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/15/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/14/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/13/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/12/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/11/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/08/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/07/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/06/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/05/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/04/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"09/01/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/31/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/30/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/29/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/28/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/25/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/24/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/23/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/22/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/21/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/18/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/17/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/16/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/15/2023";"0,00286";"0,00286";"0,00286";"0,00286";"";"0,00%"
"08/14/2023";"0,00286";"0,00143";"0,00286";"0,00286";"";"-17,90%"
"08/11/2023";"0,00348";"0,00348";"0,00348";"0,00348";"";"-0,40%"
"08/10/2023";"0,00349";"0,00351";"0,00351";"0,00349";"";"-0,34%"
"08/09/2023";"0,00351";"0,00351";"0,00351";"0,00350";"";"-0,37%"
"08/08/2023";"0,00352";"0,00352";"0,00352";"0,00352";"";"-0,34%"
"08/07/2023";"0,00353";"0,00353";"0,00353";"0,00353";"";"-1,37%"
"08/04/2023";"0,00358";"0,00358";"0,00358";"0,00358";"";"-0,44%"
"08/03/2023";"0,00360";"0,00359";"0,00360";"0,00359";"";"-0,25%"
"08/02/2023";"0,00360";"0,00362";"0,00362";"0,00361";"";"-0,44%"
"08/01/2023";"0,00362";"0,00362";"0,00363";"0,00362";"";"-0,30%"
"07/31/2023";"0,00363";"0,00363";"0,00363";"0,00363";"";"-0,60%"
"07/28/2023";"0,00365";"0,00365";"0,00366";"0,00365";"";"-0,22%"
"07/27/2023";"0,00366";"0,00366";"0,00367";"0,00366";"";"-0,22%"
"07/26/2023";"0,00367";"0,00368";"0,00368";"0,00367";"";"-0,30%"
"07/25/2023";"0,00368";"0,00369";"0,00369";"0,00368";"";"-0,24%"
"07/24/2023";"0,00369";"0,00369";"0,00369";"0,00369";"";"-0,57%"
"07/21/2023";"0,00371";"0,00372";"0,00372";"0,00371";"";"-0,30%"
"07/20/2023";"0,00372";"0,00372";"0,00372";"0,00372";"";"-0,16%"
"07/19/2023";"0,00373";"0,00374";"0,00374";"0,00372";"";"-0,21%"
"07/18/2023";"0,00374";"0,00375";"0,00375";"0,00374";"";"-0,35%"
"07/17/2023";"0,00375";"0,00375";"0,00375";"0,00375";"";"-0,64%"
"07/14/2023";"0,00377";"0,00378";"0,00378";"0,00377";"";"-0,24%"
"07/13/2023";"0,00378";"0,00379";"0,00379";"0,00378";"";"-0,16%"
"07/12/2023";"0,00379";"0,00380";"0,00380";"0,00379";"";"-0,26%"
"07/11/2023";"0,00380";"0,00381";"0,00381";"0,00380";"";"-0,29%"
"07/10/2023";"0,00381";"0,00383";"0,00383";"0,00381";"";"-0,57%"
"07/07/2023";"0,00383";"0,00384";"0,00384";"0,00383";"";"-0,23%"
"07/06/2023";"0,00384";"0,00385";"0,00385";"0,00384";"";"-0,31%"
"07/05/2023";"0,00385";"0,00386";"0,00386";"0,00385";"";"0,00%"
"07/04/2023";"0,00386";"0,00386";"0,00386";"0,00386";"";"-0,54%"
"07/03/2023";"0,00388";"0,00387";"0,00388";"0,00387";"";"-0,46%"
"06/30/2023";"0,00390";"0,00390";"0,00390";"0,00389";"";"-0,18%"
"06/29/2023";"0,00390";"0,00391";"0,00391";"0,00390";"";"-0,15%"
"06/28/2023";"0,00391";"0,00392";"0,00392";"0,00391";"";"-0,26%"
"06/27/2023";"0,00392";"0,00393";"0,00393";"0,00392";"";"-0,33%"
"06/26/2023";"0,00393";"0,00393";"0,00393";"0,00393";"";"-0,53%"
"06/23/2023";"0,00395";"0,00395";"0,00396";"0,00395";"";"-0,18%"
"06/22/2023";"0,00396";"0,00396";"0,00397";"0,00396";"";"-0,28%"
"06/21/2023";"0,00397";"0,00401";"0,00401";"0,00397";"";"-1,02%"
"06/20/2023";"0,00401";"0,00401";"0,00401";"0,00401";"";"0,00%"
"06/19/2023";"0,00401";"0,00401";"0,00401";"0,00401";"";"0,00%"
"06/16/2023";"0,00401";"0,00403";"0,00403";"0,00401";"";"-0,32%"
"06/15/2023";"0,00402";"0,00403";"0,00403";"0,00401";"";"-0,22%"
"06/14/2023";"0,00403";"0,00405";"0,00405";"0,00403";"";"-0,32%"
"06/13/2023";"0,00405";"0,00405";"0,00406";"0,00404";"";"-0,17%"
"06/12/2023";"0,00405";"0,00408";"0,00408";"0,00405";"";"-0,71%"
"06/09/2023";"0,00408";"0,00409";"0,00409";"0,00408";"";"-0,22%"
"06/08/2023";"0,00409";"0,00410";"0,00410";"0,00409";"";"-0,34%"
"06/07/2023";"0,00410";"0,00411";"0,00411";"0,00410";"";"-0,17%"
"06/06/2023";"0,00411";"0,00413";"0,00413";"0,00411";"";"-0,29%"
