"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"04/04/2023";"0,1971";"0,1975";"0,1981";"0,1961";"";"-0,15%"
"04/03/2023";"0,1974";"0,1975";"0,1985";"0,1967";"";"-0,03%"
"03/31/2023";"0,1975";"0,1963";"0,1978";"0,1957";"";"0,60%"
"03/30/2023";"0,1963";"0,1947";"0,1972";"0,1938";"";"0,86%"
"03/29/2023";"0,1946";"0,1936";"0,1951";"0,1929";"";"0,57%"
"03/28/2023";"0,1935";"0,1924";"0,1943";"0,1923";"";"0,61%"
"03/27/2023";"0,1923";"0,1906";"0,1926";"0,1904";"";"0,91%"
"03/24/2023";"0,1906";"0,1888";"0,1909";"0,1872";"";"1,02%"
"03/23/2023";"0,1887";"0,1909";"0,1922";"0,1886";"";"-1,12%"
"03/22/2023";"0,1908";"0,1907";"0,1921";"0,1894";"";"0,08%"
"03/21/2023";"0,1907";"0,1910";"0,1918";"0,1903";"";"-0,15%"
"03/20/2023";"0,1909";"0,1895";"0,1912";"0,1892";"";"0,82%"
"03/17/2023";"0,1894";"0,1912";"0,1912";"0,1892";"";"-0,92%"
"03/16/2023";"0,1911";"0,1891";"0,1915";"0,1883";"";"1,12%"
"03/15/2023";"0,1890";"0,1903";"0,1905";"0,1877";"";"-0,64%"
"03/14/2023";"0,1902";"0,1906";"0,1915";"0,1900";"";"-0,14%"
"03/13/2023";"0,1905";"0,1917";"0,1919";"0,1893";"";"-0,60%"
"03/10/2023";"0,1917";"0,1936";"0,1941";"0,1915";"";"-1,00%"
"03/09/2023";"0,1936";"0,1943";"0,1957";"0,1934";"";"-0,37%"
"03/08/2023";"0,1943";"0,1926";"0,1961";"0,1926";"";"0,88%"
"03/07/2023";"0,1926";"0,1940";"0,1941";"0,1921";"";"-0,72%"
"03/06/2023";"0,1940";"0,1923";"0,1941";"0,1916";"";"0,81%"
"03/03/2023";"0,1925";"0,1923";"0,1930";"0,1912";"";"0,10%"
"03/02/2023";"0,1922";"0,1931";"0,1931";"0,1912";"";"-0,41%"
"03/01/2023";"0,1930";"0,1910";"0,1933";"0,1910";"";"1,11%"
"02/28/2023";"0,1909";"0,1923";"0,1931";"0,1904";"";"-0,68%"
"02/27/2023";"0,1922";"0,1920";"0,1934";"0,1918";"";"0,18%"
"02/24/2023";"0,1919";"0,1946";"0,1947";"0,1918";"";"-1,40%"
"02/23/2023";"0,1946";"0,1941";"0,1957";"0,1932";"";"0,29%"
"02/22/2023";"0,1940";"0,1935";"0,1941";"0,1918";"";"0,29%"
"02/21/2023";"0,1935";"0,1935";"0,1936";"0,1935";"";"0,00%"
"02/20/2023";"0,1935";"0,1935";"0,1935";"0,1935";"";"0,00%"
"02/17/2023";"0,1935";"0,1916";"0,1942";"0,1903";"";"0,97%"
"02/16/2023";"0,1916";"0,1916";"0,1925";"0,1901";"";"0,03%"
"02/15/2023";"0,1916";"0,1926";"0,1927";"0,1908";"";"-0,51%"
"02/14/2023";"0,1926";"0,1938";"0,1950";"0,1912";"";"-0,63%"
"02/13/2023";"0,1938";"0,1917";"0,1939";"0,1913";"";"1,08%"
"02/10/2023";"0,1917";"0,1890";"0,1920";"0,1884";"";"1,46%"
"02/09/2023";"0,1890";"0,1923";"0,1933";"0,1889";"";"-1,71%"
"02/08/2023";"0,1922";"0,1919";"0,1936";"0,1906";"";"0,18%"
"02/07/2023";"0,1919";"0,1943";"0,1948";"0,1916";"";"-1,22%"
"02/06/2023";"0,1943";"0,1941";"0,1945";"0,1918";"";"0,10%"
"02/03/2023";"0,1941";"0,1980";"0,1980";"0,1938";"";"-1,97%"
"02/02/2023";"0,1980";"0,1978";"0,2024";"0,1978";"";"0,08%"
"02/01/2023";"0,1978";"0,1971";"0,1983";"0,1956";"";"0,37%"
"01/31/2023";"0,1971";"0,1954";"0,1972";"0,1945";"";"0,85%"
"01/30/2023";"0,1954";"0,1958";"0,1967";"0,1948";"";"-0,14%"
"01/27/2023";"0,1957";"0,1974";"0,1978";"0,1954";"";"-0,84%"
"01/26/2023";"0,1974";"0,1971";"0,1977";"0,1953";"";"0,14%"
"01/25/2023";"0,1971";"0,1946";"0,1973";"0,1942";"122,72K";"1,31%"
"01/24/2023";"0,1945";"0,1920";"0,1948";"0,1915";"102,08K";"1,33%"
"01/23/2023";"0,1920";"0,1920";"0,1937";"0,1915";"129,69K";"0,00%"
"01/20/2023";"0,1920";"0,1933";"0,1937";"0,1908";"115,59K";"-0,64%"
"01/19/2023";"0,1932";"0,1928";"0,1937";"0,1902";"156,95K";"0,23%"
"01/18/2023";"0,1928";"0,1961";"0,1974";"0,1927";"162,32K";"-1,66%"
"01/17/2023";"0,1960";"0,1941";"0,1962";"0,1938";"127,44K";"0,92%"
"01/16/2023";"0,1942";"0,1962";"0,1964";"0,1937";"92,57K";"-1,00%"
"01/13/2023";"0,1962";"0,1957";"0,1969";"0,1940";"112,52K";"0,25%"
"01/12/2023";"0,1957";"0,1938";"0,1973";"0,1928";"189,34K";"1,01%"
"01/11/2023";"0,1938";"0,1923";"0,1938";"0,1910";"144,40K";"0,77%"
"01/10/2023";"0,1923";"0,1902";"0,1924";"0,1895";"133,59K";"1,07%"
"01/09/2023";"0,1903";"0,1914";"0,1914";"0,1884";"136,99K";"-0,56%"
"01/06/2023";"0,1913";"0,1869";"0,1916";"0,1862";"154,80K";"2,40%"
"01/05/2023";"0,1868";"0,1841";"0,1870";"0,1841";"148,32K";"1,49%"
"01/04/2023";"0,1841";"0,1825";"0,1843";"0,1825";"175,09K";"0,89%"
"01/03/2023";"0,1825";"0,1864";"0,1873";"0,1825";"188,23K";"-2,11%"
