"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"09/26/2023";"0,001106";"0,001107";"0,001112";"0,001101";"";"0,00%"
"09/25/2023";"0,001106";"0,001118";"0,001120";"0,001104";"";"-0,98%"
"09/22/2023";"0,001117";"0,001125";"0,001129";"0,001115";"";"-0,71%"
"09/21/2023";"0,001125";"0,001132";"0,001134";"0,001117";"";"-0,53%"
"09/20/2023";"0,001131";"0,001130";"0,001138";"0,001127";"";"0,18%"
"09/19/2023";"0,001129";"0,001130";"0,001131";"0,001129";"";"0,00%"
"09/18/2023";"0,001129";"0,001130";"0,001131";"0,001124";"";"0,00%"
"09/15/2023";"0,001129";"0,001124";"0,001134";"0,001123";"";"0,44%"
"09/14/2023";"0,001124";"0,001135";"0,001139";"0,001112";"";"-0,88%"
"09/13/2023";"0,001134";"0,001120";"0,001135";"0,001112";"";"1,34%"
"09/12/2023";"0,001119";"0,001121";"0,001123";"0,001107";"";"-0,18%"
"09/11/2023";"0,001121";"0,001116";"0,001128";"0,001115";"";"0,63%"
"09/08/2023";"0,001114";"0,001132";"0,001134";"0,001111";"";"-1,50%"
"09/07/2023";"0,001131";"0,001148";"0,001151";"0,001124";"";"-1,39%"
"09/06/2023";"0,001147";"0,001144";"0,001152";"0,001140";"";"0,35%"
"09/05/2023";"0,001143";"0,001164";"0,001164";"0,001139";"";"-1,72%"
"09/04/2023";"0,001163";"0,001174";"0,001180";"0,001159";"";"-0,85%"
"09/01/2023";"0,001173";"0,001173";"0,001184";"0,001170";"";"0,00%"
"08/31/2023";"0,001173";"0,001176";"0,001179";"0,001159";"";"-0,17%"
"08/30/2023";"0,001175";"0,001165";"0,001176";"0,001157";"";"0,95%"
"08/29/2023";"0,001164";"0,001170";"0,001173";"0,001157";"";"-0,43%"
"08/28/2023";"0,001169";"0,001183";"0,001186";"0,001161";"";"-1,10%"
"08/25/2023";"0,001182";"0,001183";"0,001195";"0,001171";"";"0,00%"
"08/24/2023";"0,001182";"0,001168";"0,001187";"0,001158";"";"1,29%"
"08/23/2023";"0,001167";"0,001149";"0,001170";"0,001148";"";"1,57%"
"08/22/2023";"0,001149";"0,001149";"0,001160";"0,001147";"";"0,09%"
"08/21/2023";"0,001148";"0,001148";"0,001157";"0,001142";"";"0,09%"
"08/18/2023";"0,001147";"0,001153";"0,001159";"0,001145";"";"-0,43%"
"08/17/2023";"0,001152";"0,001150";"0,001161";"0,001149";"";"0,35%"
"08/16/2023";"0,001148";"0,001158";"0,001175";"0,001142";"";"-0,86%"
"08/15/2023";"0,001158";"0,001167";"0,001167";"0,001158";"";"-0,69%"
"08/14/2023";"0,001166";"0,001163";"0,001174";"0,001150";"";"0,26%"
"08/11/2023";"0,001163";"0,001182";"0,001184";"0,001163";"";"-1,44%"
"08/10/2023";"0,001180";"0,001161";"0,001183";"0,001160";"";"1,72%"
"08/09/2023";"0,001160";"0,001160";"0,001169";"0,001158";"";"0,09%"
"08/08/2023";"0,001159";"0,001164";"0,001164";"0,001152";"";"-0,34%"
"08/07/2023";"0,001163";"0,001173";"0,001176";"0,001163";"";"-0,85%"
"08/04/2023";"0,001173";"0,001175";"0,001186";"0,001172";"";"-0,09%"
"08/03/2023";"0,001174";"0,001178";"0,001180";"0,001164";"";"-0,34%"
"08/02/2023";"0,001178";"0,001189";"0,001191";"0,001174";"";"-0,93%"
"08/01/2023";"0,001189";"0,001191";"0,001192";"0,001181";"";"-0,08%"
"07/31/2023";"0,001190";"0,001205";"0,001206";"0,001185";"";"-1,16%"
"07/28/2023";"0,001204";"0,001204";"0,001214";"0,001203";"";"0,08%"
"07/27/2023";"0,001203";"0,001214";"0,001218";"0,001204";"";"-0,74%"
"07/26/2023";"0,001212";"0,001206";"0,001217";"0,001203";"";"0,58%"
"07/25/2023";"0,001205";"0,001207";"0,001211";"0,001203";"";"-0,08%"
"07/24/2023";"0,001206";"0,001215";"0,001221";"0,001204";"";"-0,66%"
"07/21/2023";"0,001214";"0,001224";"0,001229";"0,001209";"";"-0,74%"
"07/20/2023";"0,001223";"0,001240";"0,001246";"0,001222";"";"-1,21%"
"07/19/2023";"0,001238";"0,001226";"0,001241";"0,001223";"";"1,06%"
"07/18/2023";"0,001225";"0,001222";"0,001230";"0,001219";"";"0,33%"
"07/17/2023";"0,001221";"0,001228";"0,001228";"0,001214";"";"-0,49%"
"07/14/2023";"0,001227";"0,001232";"0,001236";"0,001226";"";"-0,32%"
"07/13/2023";"0,001231";"0,001232";"0,001239";"0,001232";"";"0,00%"
"07/12/2023";"0,001231";"0,001227";"0,001237";"0,001226";"";"0,41%"
"07/11/2023";"0,001226";"0,001229";"0,001231";"0,001219";"";"-0,16%"
"07/10/2023";"0,001228";"0,001238";"0,001240";"0,001227";"";"-0,73%"
"07/07/2023";"0,001237";"0,001246";"0,001248";"0,001236";"";"-0,64%"
"07/06/2023";"0,001245";"0,001255";"0,001256";"0,001237";"";"-0,72%"
"07/05/2023";"0,001254";"0,001251";"0,001257";"0,001245";"";"0,24%"
"07/04/2023";"0,001251";"0,001251";"0,001259";"0,001251";"";"0,00%"
"07/03/2023";"0,001251";"0,001247";"0,001256";"0,001246";"";"0,40%"
"06/30/2023";"0,001246";"0,001245";"0,001252";"0,001241";"";"0,16%"
"06/29/2023";"0,001244";"0,001249";"0,001250";"0,001243";"";"-0,32%"
