"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"09/26/2023";"0,000246";"0,000249";"0,000249";"0,000246";"";"-0,93%"
"09/25/2023";"0,000249";"0,000251";"0,000251";"0,000248";"";"-0,95%"
"09/24/2023";"0,000251";"0,000254";"0,000254";"0,000251";"";"0,00%"
"09/22/2023";"0,000251";"0,000254";"0,000255";"0,000251";"";"-1,07%"
"09/21/2023";"0,000254";"0,000256";"0,000256";"0,000253";"";"-0,94%"
"09/20/2023";"0,000256";"0,000255";"0,000258";"0,000254";"";"0,49%"
"09/19/2023";"0,000255";"0,000257";"0,000257";"0,000255";"";"-0,54%"
"09/18/2023";"0,000257";"0,000254";"0,000257";"0,000254";"";"0,84%"
"09/17/2023";"0,000254";"0,000255";"0,000255";"0,000254";"";"0,00%"
"09/15/2023";"0,000254";"0,000255";"0,000256";"0,000254";"";"-0,38%"
"09/14/2023";"0,000255";"0,000252";"0,000256";"0,000252";"";"1,33%"
"09/13/2023";"0,000252";"0,000251";"0,000254";"0,000251";"";"0,64%"
"09/12/2023";"0,000251";"0,000251";"0,000251";"0,000250";"";"0,00%"
"09/11/2023";"0,000251";"0,000249";"0,000251";"0,000249";"";"0,70%"
"09/10/2023";"0,000249";"0,000249";"0,000249";"0,000249";"";"0,00%"
"09/08/2023";"0,000249";"0,000248";"0,000251";"0,000248";"";"0,00%"
"09/07/2023";"0,000248";"0,000246";"0,000249";"0,000246";"";"1,09%"
"09/06/2023";"0,000246";"0,000245";"0,000247";"0,000244";"";"0,00%"
"09/05/2023";"0,000245";"0,000247";"0,000247";"0,000245";"";"-0,43%"
"09/04/2023";"0,000247";"0,000246";"0,000247";"0,000246";"";"0,00%"
"09/03/2023";"0,000246";"0,000244";"0,000246";"0,000244";"";"0,31%"
"09/01/2023";"0,000245";"0,000245";"0,000247";"0,000244";"";"0,31%"
"08/31/2023";"0,000245";"0,000244";"0,000245";"0,000243";"";"0,00%"
"08/30/2023";"0,000244";"0,000243";"0,000245";"0,000243";"";"0,46%"
"08/29/2023";"0,000243";"0,000242";"0,000244";"0,000242";"";"0,00%"
"08/28/2023";"0,000243";"0,000243";"0,000245";"0,000242";"";"0,36%"
"08/27/2023";"0,000243";"0,000244";"0,000244";"0,000243";"";"-0,37%"
"08/25/2023";"0,000243";"0,000245";"0,000245";"0,000243";"";"-0,71%"
"08/24/2023";"0,000245";"0,000244";"0,000246";"0,000244";"";"0,34%"
"08/23/2023";"0,000244";"0,000243";"0,000246";"0,000243";"";"0,51%"
"08/22/2023";"0,000243";"0,000246";"0,000246";"0,000243";"";"-1,07%"
"08/21/2023";"0,000246";"0,000243";"0,000249";"0,000243";"";"1,22%"
"08/20/2023";"0,000243";"0,000244";"0,000244";"0,000243";"";"0,00%"
"08/18/2023";"0,000243";"0,000244";"0,000245";"0,000242";"";"-0,77%"
"08/17/2023";"0,000244";"0,000242";"0,000245";"0,000242";"";"0,83%"
"08/16/2023";"0,000242";"0,000244";"0,000245";"0,000242";"";"-0,68%"
"08/15/2023";"0,000244";"0,000248";"0,000248";"0,000244";"";"-1,37%"
"08/14/2023";"0,000248";"0,000252";"0,000252";"0,000247";"";"-1,96%"
"08/13/2023";"0,000252";"0,000252";"0,000252";"0,000252";"";"0,00%"
"08/11/2023";"0,000252";"0,000251";"0,000254";"0,000251";"";"0,69%"
"08/10/2023";"0,000251";"0,000247";"0,000251";"0,000247";"";"1,55%"
"08/09/2023";"0,000247";"0,000247";"0,000248";"0,000245";"";"0,00%"
"08/08/2023";"0,000247";"0,000248";"0,000249";"0,000247";"";"-0,29%"
"08/07/2023";"0,000248";"0,000244";"0,000248";"0,000244";"";"1,39%"
"08/06/2023";"0,000244";"0,000242";"0,000244";"0,000241";"";"0,39%"
"08/04/2023";"0,000244";"0,000243";"0,000244";"0,000240";"";"0,00%"
"08/03/2023";"0,000243";"0,000247";"0,000247";"0,000243";"";"-1,57%"
"08/02/2023";"0,000247";"0,000252";"0,000255";"0,000246";"";"-1,67%"
"08/01/2023";"0,000252";"0,000256";"0,000256";"0,000250";"";"-1,89%"
"07/31/2023";"0,000256";"0,000255";"0,000257";"0,000254";"";"0,70%"
"07/30/2023";"0,000255";"0,000254";"0,000255";"0,000254";"";"0,00%"
"07/28/2023";"0,000255";"0,000253";"0,000256";"0,000253";"";"0,71%"
"07/27/2023";"0,000253";"0,000253";"0,000255";"0,000252";"";"0,00%"
"07/26/2023";"0,000253";"0,000252";"0,000254";"0,000252";"";"0,61%"
"07/25/2023";"0,000252";"0,000253";"0,000253";"0,000250";"";"-0,49%"
"07/24/2023";"0,000253";"0,000252";"0,000254";"0,000251";"";"0,50%"
"07/23/2023";"0,000252";"0,000252";"0,000252";"0,000252";"";"-0,24%"
"07/21/2023";"0,000252";"0,000251";"0,000253";"0,000251";"";"0,25%"
"07/20/2023";"0,000251";"0,000252";"0,000252";"0,000251";"";"0,00%"
"07/19/2023";"0,000252";"0,000250";"0,000252";"0,000249";"";"0,80%"
"07/18/2023";"0,000250";"0,000249";"0,000251";"0,000249";"";"0,23%"
