"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"09/26/2023";"0,02623";"0,02628";"0,02628";"0,02614";"";"0,07%"
"09/25/2023";"0,02621";"0,02627";"0,02627";"0,02613";"";"-0,15%"
"09/22/2023";"0,02625";"0,02627";"0,02627";"0,02627";"";"0,00%"
"09/21/2023";"0,02625";"0,02622";"0,02627";"0,02622";"";"0,15%"
"09/20/2023";"0,02621";"0,02622";"0,02627";"0,02622";"";"0,00%"
"09/19/2023";"0,02621";"0,02627";"0,02627";"0,02622";"";"-0,15%"
"09/18/2023";"0,02625";"0,02620";"0,02628";"0,02620";"";"0,23%"
"09/15/2023";"0,02619";"0,02611";"0,02620";"0,02611";"";"0,34%"
"09/14/2023";"0,02610";"0,02613";"0,02623";"0,02611";"";"-0,08%"
"09/13/2023";"0,02612";"0,02626";"0,02626";"0,02613";"";"0,04%"
"09/12/2023";"0,02611";"0,02622";"0,02626";"0,02609";"";"-0,50%"
"09/11/2023";"0,02624";"0,02629";"0,02629";"0,02622";"";"-0,15%"
"09/08/2023";"0,02628";"0,02640";"0,02640";"0,02629";"";"-0,42%"
"09/07/2023";"0,02639";"0,02639";"0,02640";"0,02637";"";"0,04%"
"09/06/2023";"0,02638";"0,02647";"0,02647";"0,02639";"";"-0,30%"
"09/05/2023";"0,02646";"0,02659";"0,02659";"0,02647";"";"-0,45%"
"09/04/2023";"0,02658";"0,02659";"0,02659";"0,02659";"";"0,00%"
"09/01/2023";"0,02658";"0,02653";"0,02659";"0,02653";"";"0,23%"
"08/31/2023";"0,02652";"0,02645";"0,02661";"0,02645";"";"0,30%"
"08/30/2023";"0,02644";"0,02651";"0,02651";"0,02645";"";"-0,23%"
"08/29/2023";"0,02650";"0,02652";"0,02652";"0,02651";"";"-0,04%"
"08/28/2023";"0,02651";"0,02652";"0,02652";"0,02652";"";"0,00%"
"08/25/2023";"0,02651";"0,02651";"0,02652";"0,02651";"";"0,04%"
"08/24/2023";"0,02650";"0,02642";"0,02651";"0,02642";"";"0,34%"
"08/23/2023";"0,02641";"0,02643";"0,02643";"0,02642";"";"-0,04%"
"08/22/2023";"0,02642";"0,02642";"0,02643";"0,02642";"";"0,04%"
"08/21/2023";"0,02641";"0,02649";"0,02649";"0,02642";"";"-0,26%"
"08/18/2023";"0,02648";"0,02642";"0,02649";"0,02640";"";"0,27%"
"08/17/2023";"0,02641";"0,02630";"0,02642";"0,02630";"";"0,46%"
"08/16/2023";"0,02629";"0,02596";"0,02630";"0,02596";"";"1,31%"
"08/15/2023";"0,02595";"0,02638";"0,02638";"0,02596";"";"-0,88%"
"08/14/2023";"0,02618";"0,02644";"0,02644";"0,02622";"";"-0,95%"
"08/11/2023";"0,02643";"0,02634";"0,02644";"0,02634";"";"0,38%"
"08/10/2023";"0,02633";"0,02610";"0,02634";"0,02610";"";"0,92%"
"08/09/2023";"0,02609";"0,02626";"0,02626";"0,02610";"";"-0,61%"
"08/08/2023";"0,02625";"0,02626";"0,02626";"0,02626";"";"0,00%"
"08/07/2023";"0,02625";"0,02613";"0,02626";"0,02613";"";"0,50%"
"08/04/2023";"0,02612";"0,02640";"0,02640";"0,02613";"";"-1,02%"
"08/03/2023";"0,02639";"0,02666";"0,02666";"0,02609";"";"0,04%"
