Pair,From_Currency,To_Currency,Date,Price,Open,High,Low,Vol,Change %,,
ARS_USD,ARS,USD,09/26/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/25/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/22/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/21/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/20/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/19/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/18/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/15/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/14/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,09/13/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/12/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/11/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/08/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/07/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/06/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/05/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/04/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,9/01/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/31/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/30/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/29/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/28/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/25/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/24/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/23/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/22/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/21/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/18/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/17/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/16/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/15/2023,0.286,0.286,0.286,0.286,,0.0%,,
ARS_USD,ARS,USD,08/14/2023,0.286,0.143,0.286,0.286,,-17,,
ARS_USD,ARS,USD,8/11/2023,0.348,0.348,0.348,0.348,,0.40%,,
ARS_USD,ARS,USD,8/10/2023,0.349,0.351,0.351,0.349,,0.34%,,
ARS_USD,ARS,USD,8/09/2023,0.351,0.351,0.351,0.35,,0.37%,,
ARS_USD,ARS,USD,8/08/2023,0.352,0.352,0.352,0.352,,0.34%,,
ARS_USD,ARS,USD,8/07/2023,0.353,0.353,0.353,0.353,,-1,,
ARS_USD,ARS,USD,8/04/2023,0.358,0.358,0.358,0.358,,0.44%,,
ARS_USD,ARS,USD,8/03/2023,0.36,0.359,0.36,0.359,,0.25%,,
ARS_USD,ARS,USD,8/02/2023,0.36,0.362,0.362,0.361,,0.44%,,
ARS_USD,ARS,USD,8/01/2023,0.362,0.362,0.363,0.362,,0.30%,,
ARS_USD,ARS,USD,07/31/2023,0.363,0.363,0.363,0.363,,0.60%,,
ARS_USD,ARS,USD,07/28/2023,0.365,0.365,0.366,0.365,,0.22%,,
ARS_USD,ARS,USD,07/27/2023,0.366,0.366,0.367,0.366,,0.22%,,
ARS_USD,ARS,USD,07/26/2023,0.367,0.368,0.368,0.367,,0.30%,,
ARS_USD,ARS,USD,07/25/2023,0.368,0.369,0.369,0.368,,0.24%,,
ARS_USD,ARS,USD,07/24/2023,0.369,0.369,0.369,0.369,,0.57%,,
ARS_USD,ARS,USD,07/21/2023,0.371,0.372,0.372,0.371,,0.30%,,
ARS_USD,ARS,USD,07/20/2023,0.372,0.372,0.372,0.372,,0.16%,,
ARS_USD,ARS,USD,07/19/2023,0.373,0.374,0.374,0.372,,0.21%,,
ARS_USD,ARS,USD,07/18/2023,0.374,0.375,0.375,0.374,,0.35%,,
ARS_USD,ARS,USD,07/17/2023,0.375,0.375,0.375,0.375,,0.64%,,
ARS_USD,ARS,USD,07/14/2023,0.377,0.378,0.378,0.377,,0.24%,,
ARS_USD,ARS,USD,07/13/2023,0.378,0.379,0.379,0.378,,0.16%,,
ARS_USD,ARS,USD,7/12/2023,0.379,0.38,0.38,0.379,,0.26%,,
ARS_USD,ARS,USD,7/11/2023,0.38,0.381,0.381,0.38,,0.29%,,
ARS_USD,ARS,USD,7/10/2023,0.381,0.383,0.383,0.381,,0.57%,,
ARS_USD,ARS,USD,7/07/2023,0.383,0.384,0.384,0.383,,0.23%,,
ARS_USD,ARS,USD,7/06/2023,0.384,0.385,0.385,0.384,,0.31%,,
ARS_USD,ARS,USD,7/05/2023,0.385,0.386,0.386,0.385,,0.0%,,
ARS_USD,ARS,USD,7/04/2023,0.386,0.386,0.386,0.386,,0.54%,,
ARS_USD,ARS,USD,7/03/2023,0.388,0.387,0.388,0.387,,0.46%,,
ARS_USD,ARS,USD,06/30/2023,0.39,0.39,0.39,0.389,,0.18%,,
ARS_USD,ARS,USD,06/29/2023,0.39,0.391,0.391,0.39,,0.15%,,
ARS_USD,ARS,USD,06/28/2023,0.391,0.392,0.392,0.391,,0.26%,,
ARS_USD,ARS,USD,06/27/2023,0.392,0.393,0.393,0.392,,0.33%,,
ARS_USD,ARS,USD,06/26/2023,0.393,0.393,0.393,0.393,,0.53%,,
ARS_USD,ARS,USD,06/23/2023,0.395,0.395,0.396,0.395,,0.18%,,
ARS_USD,ARS,USD,06/22/2023,0.396,0.396,0.397,0.396,,0.28%,,
ARS_USD,ARS,USD,06/21/2023,0.397,0.401,0.401,0.397,,-1,,
ARS_USD,ARS,USD,06/20/2023,0.401,0.401,0.401,0.401,,0.0%,,
ARS_USD,ARS,USD,06/19/2023,0.401,0.401,0.401,0.401,,0.0%,,
ARS_USD,ARS,USD,06/16/2023,0.401,0.403,0.403,0.401,,0.32%,,
ARS_USD,ARS,USD,06/15/2023,0.402,0.403,0.403,0.401,,0.22%,,
ARS_USD,ARS,USD,06/14/2023,0.403,0.405,0.405,0.403,,0.32%,,
ARS_USD,ARS,USD,06/13/2023,0.405,0.405,0.406,0.404,,0.17%,,
ARS_USD,ARS,USD,6/12/2023,0.405,0.408,0.408,0.405,,0.71%,,
ARS_USD,ARS,USD,6/09/2023,0.408,0.409,0.409,0.408,,0.22%,,
ARS_USD,ARS,USD,6/08/2023,0.409,0.41,0.41,0.409,,0.34%,,
ARS_USD,ARS,USD,6/07/2023,0.41,0.411,0.411,0.41,,0.17%,,
ARS_USD,ARS,USD,6/06/2023,0.411,0.413,0.413,0.411,,0.29%,,
ARS_USD,ARS,USD,6/05/2023,0.412,0.412,0.412,0.412,,0.67%,,
ARS_USD,ARS,USD,6/02/2023,0.415,0.416,0.417,0.415,,0.24%,,
ARS_USD,ARS,USD,6/01/2023,0.416,0.418,0.418,0.416,,0.34%,,
ARS_USD,ARS,USD,05/31/2023,0.418,0.419,0.419,0.418,,0.24%,,
ARS_USD,ARS,USD,05/30/2023,0.419,0.42,0.42,0.419,,0.24%,,
ARS_USD,ARS,USD,05/29/2023,0.42,0.42,0.42,0.42,,-1,,
ARS_USD,ARS,USD,05/26/2023,0.424,0.424,0.424,0.424,,0.0%,,
ARS_USD,ARS,USD,05/25/2023,0.424,0.424,0.424,0.424,,0.0%,,
ARS_USD,ARS,USD,05/24/2023,0.424,0.426,0.426,0.424,,0.33%,,
ARS_USD,ARS,USD,05/23/2023,0.426,0.427,0.427,0.426,,0.26%,,
ARS_USD,ARS,USD,05/22/2023,0.427,0.43,0.43,0.426,,0.63%,,
ARS_USD,ARS,USD,05/19/2023,0.429,0.431,0.431,0.429,,0.32%,,
ARS_USD,ARS,USD,05/18/2023,0.431,0.432,0.432,0.43,,0.21%,,
ARS_USD,ARS,USD,05/17/2023,0.432,0.433,0.433,0.431,,0.21%,,
ARS_USD,ARS,USD,05/16/2023,0.433,0.434,0.434,0.432,,0.21%,,
ARS_USD,ARS,USD,05/15/2023,0.434,0.434,0.434,0.434,,0.60%,,
