Pair;From_Currency;To_Currency;Date;Price;Open;High;Low;Vol.;Change %
USD-ARS;USD;ARS;08/22/2023;3.499.428;3.498.441;3.500.638;3.497.584;;0.08%
USD-ARS;USD;ARS;08/21/2023;3.496.700;3.500.250;3.500.400;3.498.500;;-0.08%
USD-ARS;USD;ARS;08/18/2023;3.499.500;3.500.000;3.500.350;3.499.650;;0.00%
USD-ARS;USD;ARS;08/17/2023;3.499.500;3.500.000;3.500.100;3.497.900;;0.00%
USD-ARS;USD;ARS;08/16/2023;3.499.500;3.500.000;3.500.250;3.499.650;;0.00%
USD-ARS;USD;ARS;08/15/2023;3.499.500;3.499.250;3.500.350;3.497.800;;0.00%
USD-ARS;USD;ARS;08/14/2023;3.499.500;3.186.750;3.500.100;3.499.650;;21.81%
USD-ARS;USD;ARS;8/11/2023;2.873.000;2.872.250;2.873.500;2.871.350;;0.40%
USD-ARS;USD;ARS;8/10/2023;2.861.500;2.850.550;2.862.250;2.850.550;;0.35%
USD-ARS;USD;ARS;8/09/2023;2.851.500;2.852.500;2.853.250;2.851.500;;0.39%
USD-ARS;USD;ARS;8/08/2023;2.840.500;2.844.250;2.844.250;2.840.500;;0.32%
USD-ARS;USD;ARS;8/07/2023;2.831.500;2.829.000;2.832.250;2.829.000;;1.40%
USD-ARS;USD;ARS;8/04/2023;2.792.500;2.792.250;2.794.150;2.791.850;;0.43%
USD-ARS;USD;ARS;8/03/2023;2.780.500;2.782.250;2.783.750;2.780.750;;0.25%
USD-ARS;USD;ARS;8/02/2023;2.773.500;2.760.650;2.773.750;2.760.550;;0.43%
USD-ARS;USD;ARS;8/01/2023;2.761.700;2.759.500;2.762.100;2.752.750;;0.33%
USD-ARS;USD;ARS;07/31/2023;2.752.500;2.752.750;2.752.850;2.752.650;;0.60%
USD-ARS;USD;ARS;07/28/2023;2.736.000;2.737.000;2.738.000;2.735.500;;0.24%
USD-ARS;USD;ARS;07/27/2023;2.729.500;2.730.500;2.734.350;2.728.250;;0.18%
USD-ARS;USD;ARS;07/26/2023;2.724.500;2.716.900;2.725.000;2.714.850;;0.31%
